OBJECTID,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,LONGITUDE_POINT,LATITUDE_POINT,BIN_STATUS
9060,N14,N186,Perungudi,Perungudi,Panchayat 3rd Link Road,S_W186_005,12.957573,80.239074,80.2390736,12.957573,Empty
9061,N14,N186,Perungudi,Perungudi,Panchayat 3rd Link Road,S_W186_006,12.957614,80.239657,80.2396571,12.9576137,Half Full
9062,N14,N186,Perungudi,Thirumalai Nagar,Thirumalai Nagar 4th Cross Street,S_W186_001,12.961051,80.241997,80.2419974,12.9610511,Full
9063,N14,N186,Perungudi,Thirumalai Nagar,Thirumalai Nagar 4th Cross Street,S_W186_002,12.961018,80.241956,80.2419564,12.9610178,Full
9064,N14,N186,Perungudi,Elim Nagar 1st Cross Street,Elim Nagar 1st Cross Street,S_W186_001,12.955471,80.239549,80.2395491,12.9554707,Half Full
9065,N14,N186,Perungudi,Perungudi,OMR Salai Perungudi,S_W186_001,12.958085,80.244006,80.2440062,12.958085,Full
9066,N14,N186,Perungudi,Perungudi,OMR Salai Perungudi,S_W186_002,12.957344,80.244072,80.2440715,12.9573437,Full
9067,N14,N186,Perungudi,Perungudi,OMR Salai Perungudi,S_W186_003,12.949997,80.245881,80.2458814,12.9499969,Full
9068,N14,N186,Perungudi,Seevaram,Corporation Salai,S_W186_001,12.954145,80.241897,80.241897,12.9541449,Half Full
9069,N14,N186,Perungudi,Seevaram,Corporation Salai,S_W186_002,12.95421,80.241917,80.2419172,12.9542095,Empty
9070,N14,N186,Perungudi,Seevaram,Corporation Salai,S_W186_003,12.954387,80.241244,80.2412437,12.9543874,Full
9071,N14,N186,Perungudi,Seevaram,Corporation Salai,S_W186_004,12.954849,80.239125,80.2391248,12.9548493,Empty
9072,N14,N186,Perungudi,Seevaram,Maruthi Nagar 1st main road,S_W186_001,12.949962,80.245889,80.2458895,12.9499618,Full
9073,N14,N186,Perungudi,Seevaram,Maruthi Nagar 1st main road,S_W186_002,12.95072,80.246127,80.2461266,12.9507205,Full
9074,N14,N186,Perungudi,Seevaram,Manikodi Srinivasan Nagar 2nd Cross Street,S_W186_001,12.95262,80.244343,80.2443426,12.9526196,Full
9075,N14,N186,Perungudi,Seevaram,Manikodi Srinivasan Nagar 2nd Cross Street,S_W186_002,12.952619,80.244355,80.2443549,12.9526188,Full
9076,N14,N186,Perungudi,Seevaram,Manikodi Srinivasan Nagar 2nd Cross Street,S_W186_003,12.952609,80.244396,80.244396,12.9526087,Empty
9077,N14,N186,Perungudi,Seevaram,Manikodi Srinivasan Nagar 2nd Cross Street,S_W186_004,12.951619,80.244115,80.2441149,12.9516195,Full
9078,N14,N186,Perungudi,Seevaram,Manikodi Srinivasan Nagar 2nd Cross Street,S_W186_005,12.951344,80.244056,80.2440558,12.9513437,Half Full
9079,N14,N186,Perungudi,Seevaram,Manikodi Srinivasan Nagar 2nd Cross Street,S_W186_006,12.951366,80.244085,80.244085,12.9513658,Empty
9080,N14,N186,Perungudi,Elim Nagar 2nd Main Salai,Elim Nagar 2nd Main Salai,S_W186_001,12.953685,80.23877,80.2387698,12.9536849,Half Full
9081,N14,N186,Perungudi,Perungudi,Panchayat Office Street,S_W186_001,12.959878,80.238718,80.2387183,12.9598784,Half Full
